Term,"exclude (yes, maybe) initial","class (disorder, method, non-human, patients/disorder, other)",comment (initial),comment (Anna),comment (Peder),exclude - final
robotic actions,,,,,,
robotic gait orthosis,,,,,,
robotics,,,,,,
robots,,,,,,
robust,,,,,,
robust regression,,,,,,
robust statistics,,,,,,
roc,,,,,,
roc curves,,,,,,
roi analysis,,,,,,
roi regression,,,,,,
roi selection,,,,,,
rolandic epilepsy,,,,,,
role models,,,,,,
role reversal,,,,,,
role-assignment,,,,,,
role-model,,,,,,
role-models,,,,,,
roles,,,,,,
romantic couples,,,,,,
romantic love,,,,,,
romantic relationship satisfaction,,,,,,
rostral acc,,,,,,
rostral anterior cingulate cortex,,,,,,
rostral anterior cingulate cortex (racc),,,,,,
rostral cingulate zone,,,,,,
rostral prefrontal cortex,,,,,,
rostro-caudal axis,,,,,,
rostrolateral prefrontal cortex,,,,,,
rostromedial prefrontal cortex,,,,,,
rotations,,,,,,
roughness,,,,,,
rounding,,,,,,
route hypothesis,,,,,,
rs-fmri,,,,,,
rsa,,,,,,
rsc,,,,,,
rtmri,,,,,,
rtms,,,,,,
rtpj,,,,,,
rubber hand illusion,,,,,,
rubin face-vase illusion,,,,,,
rule,,,,,,
rule application,,,,,,
rule discovery,,,,,,
rule violation,,,,,,
rules,,,,,,
rumination,,,,,,
rv-coefficient,,,,,,
rvlpfc,,,,,,
s-r compatibility,,,,,,
saccades,,,,,,
saccadic choice,,,,,,
saccadic eye movements,,,"did not exclude eyetracking, so leaving this in as well",,,
saccadic eye-movements,,,"did not exclude eyetracking, so leaving this in as well",,,
saccadic programming,,,"did not exclude eyetracking, so leaving this in as well",,,
sacred values,,,,,,
sadness,,,,,,
safe sex ads,,,,,,
sales professionals,,,,,,
salience,,,,,,
salience network,,,,,,
saliency,,,,,,
saliency network,,,,,,
salivary alpha-amylase,,,,,,
salivary cortisol,,,,,,
salivary cortisol-levels,,,,,,
salivary testosterone,,,,,,
same-race,,,,,,
sample,,,,,,
sample-size,,,,,,
sampling filters,,,,,,
sanctions,,,,,,
sarcasm,,,,,,
satiation,,,,,,
satiety,,,,,,
satisfaction,,,,,,
saving behavior,,,,,,
sba,,,,,,
scalar implicature,,,,,,
scalar-on-image regression,,,,,,
scale,,,,,,
scale brain networks,,,,,,
scale neural-network,,,,,,
scale-free,,,,,,
scale-free brain dynamics,,,,,,
scale-free property,,,,,,
scales,,,,,,
scaling,,,,,,
scanner background-noise,,,,,,
scanner noise,,,,,,
scattering media,,,,,,
scene,,,,,,
scene content,,,,,,
scene perception,,,,,,
scene processing,,,,,,
scene recognition,,,,,,
scenes,,,,,,
scent,,,,,,
schadenfreude,,,,,,
schedule effect,,,,,,
schema,,,,,,
schematic facial expressions,,,,,,
school,,,,,,
school-age-children,,,,,,
school-aged children,,,,,,
schwartz's value model,,,,,,
science,,,,,,
science blogs,,,,,,
science communication,,,,,,
science studies,,,,,,
sciences,,,,,,
scientific evidence,,,,,,
scientific invention,,,,,,
scientometrics,,,,,,
scrambled movement,,,,,,
scrambling,,,,,,
screen,,,,,,
screening,,,,,,
screening instruments,,,,,,
screening tool,,,,,,
sculpture,,,,,,
search,,,,,,
seasonal plasticity,,,,,,
second language,,,,,,
second language (l2),,,,,,
second language acquisition,,,,,,
second language learning,,,,,,
second language processing,,,,,,
second person,,,,,,
second-person neuroscience,,,,,,
secondary somatosensory cortex,,,,,,
security,,,,,,
security motivation system,,,,,,
sedentary behavior,,,,,,
seductive allure,,,,,,
seeing voices,,,,,,
seeking behavior,,,,,,
segmentation,,,,,,
segregation,,,,,,
select group,,,,,,
selection,,,,,,
selection bias,,,,,,
selection mechanisms,,,,,,
selection processes,,,,,,
selective areas,,,,,,
selective attention,,,,,,
selective cooling,,,,,,
selective cortex,,,,,,
selective cortical regions,,,,,,
selective enhancement,,,,,,
selective prefrontal lesions,,,,,,
selective responses,,,,,,
selective visual areas,,,,,,
selective visual-attention,,,,,,
selectivity,,,,,,
self,,,,,,
self and other,,,,,,
self concept,,,,,,
self reference,,,,,,
self representation,,,,,,
self vs other differences,,,,,,
self- and other-referencing,,,,,,
self-affirmation,,,,,,
self-agency,,,,,,
self-appraisal,,,,,,
self-assessment,,,,,,
self-association,,,,,,
self-attributional processes,,,,,,
self-awareness,,,,,,
self-categorization,,,,,,
self-concept,,,,,,
self-conscious emotions,,,,,,
self-consciousness,,,,,,
self-construal,,,,,,
self-construal priming,,,,,,
self-construal style,,,,,,
self-construals,,,,,,
self-control,,,,,,
self-deception,,,,,,
self-defining memories,,,,,,
self-description,,,,,,
self-descriptiveness effect in memory,,,,,,
self-determination,,,,,,
self-determined motivation,,,,,,
self-efficacy,,,,,,
self-enhancement,,,,,,
self-esteem,,,,,,
self-esteem threat,,,,,,
self-evaluation,,,,,,
self-evaluation maintenance,,,,,,
self-expansion model,,,,,,
self-experience,,,,,,
self-face,,,,,,
self-face recognition,,,,,,
self-focus,,,,,,
self-generated actions,,,,,,
self-generated mental states,,,,,,
self-generated thought,,,,,,
self-handwriting,,,,,,
self-identification,,,,,,
self-improving motivations,,,,,,
self-inclusiveness,,,,,,
self-inhibition,,,,,,
self-interest,,,,,,
self-involvement,,,,,,
self-knowledge,,,,,,
self-location,,,,,,
self-object associations,,,,,,
self-organisation map,,,,,,
self-organization,,,,,,
self-other decision,,,,,,
self-other distinction,,,,,,
self-other merging,,,,,,
self-other overlap,,,,,,
self-perception,,,,,,
self-perspective,,,,,,
self-perspective inhibition,,,,,,
self-positivity bias,,,,,,
self-processing,,,,,,
self-projection,,,,,,
self-punishment,,,,,,
self-recognition,,,,,,
self-reference,,,,,,
self-reference effect,,,,,,
self-reference effect in memory,,,,,,
self-reference processing,,,,,,
self-reference task,,,,,,
self-referencing,,,,,,
self-referential processing,,,,,,
self-referential processing amnestic mild cognitive impairment,,,,,,
self-reflection,,,,,,
self-regulation,,,,,,
self-regulation regions,,,,,,
self-regulatory control,,,,,,
self-related processing,,,,,,
self-relatedness,,,,,,
self-relevance,,,,,,
self-report,,,,,,
self-reported smoking,,,,,,
self-representation,,,,,,
self-sacrifice,,,,,,
self-schema,,,,,,
self-serving,,,,,,
self-serving assessments,,,,,,
self-serving behavior,,,,,,
self-serving bias,,,,,,
self-similarity,,,,,,
self-specific stimulus,,,,,,
self-stimulation,,,,,,
self-versus other-processing,,,,,,
self-worth,,,,,,
self/other,,,,,,
selfishness,,,,,,
semantic,,,,,,
semantic ambiguity,,,,,,
semantic coercion,,,,,,
semantic cognition,,,,,,
semantic conflict,,,,,,
semantic deficits,,,,,,
semantic dementia,,,,,,
semantic distance effect,,,,,,
semantic fluency,,,,,,
semantic hub,,,,,,
semantic information,,,,,,
semantic integration,,,,,,
semantic interference,,,,,,
semantic knowledge,,,,,,
semantic memory,,,,,,
semantic memory activation,,,,,,
semantic naming treatment,,,,,,
semantic processing,,,,,,
semantic relatedness,,,,,,
semantic reliance,,,,,,
semantic retrieval,,,,,,
semantic similarity,,,,,,
semantic system,,,,,,
semantic transparency,,,,,,
semantic unification,,,,,,
semantic working memory,,,,,,
semantics,,,,,,
semiotics,,,,,,
sensation,,,,,,
sensation seeking,,,,,,
sensation value,,,,,,
sensation-seeking,,,,,,
sense,,,,,,
sense of agency,,,,,,
sense of self,,,,,,
sensibility,,,,,,
sensitive cells,,,,,,
sensitive period,,,,,,
sensitivity,,,,,,
sensitivity analysis,,,,,,
sensitivity syndrome,,,,,,
sensitivity to reward,,,,,,
sensitization,,,,,,
sensori-motor,,,,,,
sensorimotor,,,,,,
sensorimotor cortex,,,,,,
sensorimotor experience,,,,,,
sensorimotor integration,,,,,,
sensorimotor learning,,,,,,
sensorimotor network,,,,,,
sensorimotor resonance,,,,,,
sensorimotor synchronization,,,,,,
sensorimotor transformation,,,,,,
sensorimotor transformation (st),,,,,,
sensory,,,,,,
sensory characteristics,,,,,,
sensory components,,,,,,
sensory cortex,,,,,,
sensory evoked potential (sep),,,,,,
sensory memory,,,,,,
sensory processing sensitivity,,,,,,
sensory stimulation,,,,,,
sensory-perceptual transformations,,,,,,
sensory-specific satiety,,,,,,
sentence,,,,,,
sentence comprehension,,,,,,
sentence interpretation,,,,,,
sentence processing,,,,,,
sentences,,,,,,
sentiment analysis,,,,,,
separating processes,,,,,,
separation,,,,,,
separation call,,,,,,
separation principles,,,,,,
separation-distress,,,,,,
septal area,,,,,,
sequence,,,,,,
sequence learning,,,,,,
sequential dependencies,,,,,,
sequential finger movements,,,,,,
sequential investment task,,,,,,
sequential patterns,,,,,,
serial addition task,,,,,,
serial position curves,,,,,,
serial reaction task,,,,,,
serial visual presentation,,,,,,
series,,,,,,
serotonergic system,,,,,,
serotonin,,,,,,
serum cotinine,,,,,,
services,,,,,,
serving bias,,,,,,
ses,,,,,,
set,,,,,,
set switching,,,,,,
sets,,,,,,
severe institutional deprivation,,,,,,
sex,,,,,,
sex difference,,,,,,
sex differences,,,,,,
sex-chromosome aneuploidies,,,,,,
sex-differences,,,,,,
sex-related differences,,,,,,
sex/gender,,,,,,
sexual arousal,,,,,,
sexual attraction,,,,,,
sexual behavior,,,,,,
sexual desire,,,,,,
sexual health,,,,,,
sexual interest,,,,,,
sexual objectification,,,,,,
sexual orientation,,,,,,
sexual penetration,,,,,,
sexual preference,,,,,,
sexual risk,,,,,,
sexual selection,,,,,,
sexual video,,,,,,
sexual-dimorphism,,,,,,
sexuality,,,,,,
shakespeare,,,,,,
shallow structure hypothesis,,,,,,
shame,,,,,,
shape,,,,,,
shape similarity,,,,,,
shapes,,,,,,
share,,,,,,
shared attention,,,,,,
shared circuits,,,,,,
shared intentions,,,,,,
shared representation,,,,,,
shared representations,,,,,,
sharing,,,,,,
shell,,,,,,
shifts,,,,,,
short-range,,,,,,
short-term memory,,,,,,
short-term-memory,,,,,,
shrinkage priors,,,,,,
shy,,,,,,
shyness,,,,,,
si,,,,,,
sibling relations,,,,,,
sickness,,,,,,
sickness behavior,,,,,,
sickness cues,,,,,,
side,,,,,,
side of disease onset,,,,,,
sighted,,,,,,
sighted subjects,,,,,,
sign,,,,,,
sign effect,,,,,,
sign language,,,,,,
sign language acquisition,,,,,,
sign-language,,,,,,
signal,,,,,,
signal detection,,,,,,
signal detection theory,,,,,,
signal dropout,,,,,,
signal response-inhibition,,,,,,
signal sources,,,,,,
signal variability,,,,,,
signal-dependent noise,,,,,,
signal-detection model,,,,,,
signals,,,,,,
signature,,,,,,
signatures,,,,,,
signed language,,,,,,
signed oral language,,,,,,
significance,,,,,,
significant activation,,,,,,
sii,,,,,,
silent narration,,,,,,
similar stimuli,,,,,,
similarity,,,,,,
similarity hypothesis,,,,,,
simon task,,,,,,
simple arithmetic,,,,,,
simple cells,,,,,,
simple-models,,,,,,
simulation,,,,,,
simulation theory,,,,,,
simulation-theory,,,,,,
simultaneous fmri,,,,,,
simultaneous measurement,,,,,,
simultaneous tdcs-fmri,,,,,,
single,,,,,,
single neurons,,,,,,
single nucleotide polymorphism,,,,,,
single-digit addition,,,,,,
single-dimension,,,,,,
single-nucleotide polymorphism,,,,,,
single-photon emission computerized tomography,,,,,,
single-shot,,,,,,
single-target implicit association task,,,,,,
single-trial analyses,,,,,,
single-trial analysis,,,,,,
single-trial classification,,,,,,
single-trial fmri,,,,,,
single-unit activity,,,,,,
situated simulation,,,,,,
situation,,,,,,
situation attribution,,,,,,
situation nips model,,,,,,
sizable groups,,,,,,
size,,,,,,
size congruity effect,,,,,,
skepticism,,,,,,
skill acquisition,,,,,,
skilled performance,,,,,,
skilled readers,,,,,,
skinny,,,,,,
skipped correlation,,,,,,
sleep,,,,,,
sleep deprivation,,,,,,
sleep quality,,,,,,
sleep-deprivation,,,,,,
sleep-related memory consolidation,,,,,,
slips,,,,,,
slow-wave sleep,,,,,,
sma,,,,,,
small fiber neuropathy (sfn),,,,,,
small samples,,,,,,
small self,,,,,,
small world network,,,,,,
small-world,,,,,,
small-world network,,,,,,
small-world networks,,,,,,
smell,,,,,,
smell identification test,,,,,,
smell sense,,,,,,
smile,,,,,,
smiles,,,,,,
smiling expression,,,,,,
smokers,,,,,,
smoking,,,,,,
smoking cues,,,,,,
smoking urge,,,,,,
smoking-cessation,,,,,,
smooth-pursuit,,,,,,
smoother,,,,,,
smpfc,,,,,,
snack foods,,,,,,
sniff,,,,,,
sniff bottle,,,,,,
snp,,,,,,
soccer,,,,,,
soccer players,,,,,,
social,,,,,,
social abilities,,,,,,
social acceptance,,,,,,
social addressment,,,,,,
social affective engagement,,,,,,
social anxiety,,,,,,
social approach,,,,,,
social attachment,,,,,,
social attention,,,,,,
social attitudes,,,,,,
social behavior,,,,,,
social behavior selection,,,,,,
social bonds,,,,,,
social brain,,,,,,
social brain hypothesis,,,,,,
social brain network,,,,,,
social categorization,,,,,,
social causality,,,,,,
social class,,,,,,
social closeness,,,,,,
social cognition,,,,,,
social cognitive neuroscience,,,,,,
social cognitive processing,,,,,,
social cognitive theory,,,,,,
social cohesion,,,,,,
social communication,,,,,,
social comparison,,,,,,
social comparisons,,,,,,
social competition,,,,,,
social computing,,,,,,
social concept,,,,,,
social concepts,,,,,,
social conflict,,,,,,
social conformity,,,,,,
social connection,,,,,,
social constructivism,,,,,,
social content,,,,,,
social context,,,,,,
social contingency,,,,,,
social cooperation,,,,,,
social coordination,,,,,,
social cues,,,,,,
social decision making,,,,,,
social decision-making,,,,,,
social desirability,,,,,,
social development,,,,,,
social dilemma,,,,,,
social dilemmas,,,,,,
social discounting,,,,,,
social displays,,,,,,
social distance,,,,,,
social distancing,,,,,,
social distress,,,,,,
social dominance orientation,,,,,,
social drinkers,,,,,,
social dyad,,,,,,
social emotion,,,,,,
social emotions,,,,,,
social engagement,,,,,,
social evaluation,,,,,,
social evaluative stress,,,,,,
social exchange,,,,,,
social exclusion,,,,,,
social expectancy violation,,,,,,
social expectations,,,,,,
social facilitation,,,,,,
social fairness,,,,,,
social feedback,,,,,,
social feedback processing,,,,,,
social frameworks,,,,,,
social function,,,,,,
social gaze,,,,,,
social group composition,,,,,,
social group membership,,,,,,
social groups,,,,,,
social hallucinations,,,,,,
social health,,,,,,
social hierarchy,,,,,,
social identities,,,,,,
social identity,,,,,,
social identity perspective,,,,,,
social impact,,,,,,
social inference,,,,,,
social influence,,,,,,
social influences,,,,,,
social information,,,,,,
social information processing,,,,,,
social intelligence,,,,,,
social intelligence competencies,,,,,,
social intention,,,,,,
social intentions,,,,,,
social interaction,,,,,,
social interactions,,,,,,
social investment,,,,,,
social judgement,,,,,,
social judgment,,,,,,
social knowledge,,,,,,
social language,,,,,,
social learning,,,,,,
social media,,,,,,
social mentalizing,,,,,,
social mindfulness,,,,,,
social mirrors,,,,,,
social motivation,,,,,,
social network,,,,,,
social network analysis,,,,,,
social network index,,,,,,
social network size,,,,,,
social networks,,,,,,
social neural network (snn),,,,,,
social neuroscience,,,,,,
social norm,,,,,,
social norm compliance,,,,,,
social norms,,,,,,
social odors,,,,,,
social orientation,,,,,,
social outcomes,,,,,,
social pain,,,,,,
social perception,,,,,,
social phobia,,,,,,
social preferences,,,,,,
social presence,,,,,,
social priming,,,,,,
social problem solving,,,,,,
social projection,,,,,,
social psychology,,,,,,
social ranking,,,,,,
social reasoning,,,,,,
social regulation,,,,,,
social regulation of emotion,,,,,,
social rejection,,,,,,
social relation,,,,,,
social relationships,,,,,,
social relationships in school,,,,,,
social relevance,,,,,,
social reorientation,,,,,,
social reputation,,,,,,
social reward,,,,,,
social risk,,,,,,
social robotics,,,,,,
social salience,,,,,,
social sensitivity,,,,,,
social sharing,,,,,,
social signals,,,,,,
social simon effect,,,,,,
social situation,,,,,,
social skill,,,,,,
social statistical information,,,,,,
social status,,,,,,
social status hierarchy,,,,,,
social stereotypes,,,,,,
social stimulus processing,,,,,,
social stress,,,,,,
social structure,,,,,,
social support,,,,,,
social teaming,,,,,,
social threat,,,,,,
social ties,,,,,,
social touch,,,,,,
social valuation,,,,,,
social value,,,,,,
social value orientation,,,,,,
social values,,,,,,
social valutation specific schema,,,,,,
social visual perception,,,,,,
social well-being,,,,,,
social withdrawal,,,,,,
social working memory,,,,,,
social-affective network,,,,,,
social-anxiety,,,,,,
social-behavior,,,,,,
social-cognition,,,,,,
social-cognitive ability,,,,,,
social-cognitive conflict,,,,,,
social-cognitive determinants,,,,,,
social-cognitive neuroscience,,,,,,
social-context,,,,,,
social-contract,,,,,,
social-development,,,,,,
social-dominance,,,,,,
social-dominance orientation,,,,,,
social-emotional behavior,,,,,,
social-emotional development,,,,,,
social-emotional processing,,,,,,
social-exchange,,,,,,
social-factors,,,,,,
social-groups,,,,,,
social-influence,,,,,,
social-interaction,,,,,,
social-interaction test,,,,,,
social-isolation,,,,,,
social-life,,,,,,
social-neuroscience,,,,,,
social-perception,,,,,,
social-psychological intervention,,,,,,
social-psychology view,,,,,,
social-sciences,,,,,,
social-status,,,,,,
social/physical risk,,,,,,
socialemotional behavior,,,,,,
sociality,,,,,,
society,,,,,,
socio-affective video task,,,,,,
sociocultural background,,,,,,
socioeconomic status,,,,,,
socioeconomic-status,,,,,,
socioemotional selectivity,,,,,,
sociology,,,,,,
sociology of morality,,,,,,
sociometer,,,,,,
sociophysics,,,,,,
sodium mri,,,,,,
software,,,,,,
somatic changes,,,,,,
somatic marker,,,,,,
somatic marker hypothesis,,,,,,
somatic sensory cortex,,,,,,
somatomotor mapping,,,,,,
somatosensory,,,,,,
somatosensory area,,,,,,
somatosensory cortex,,,,,,
somatosensory pain regions,,,,,,
somatosensory simulation,,,,,,
somatotopic activation,,,,,,
somatotopic organization,,,,,,
somatotopic representation,,,,,,
somatotopy,,,,,,
songbird,,,,,,
sophisticated deception,,,,,,
sopi,,,,,,
sound,,,,,,
sound localization,,,,,,
sound-symbolism,,,,,,
sounds,,,,,,
source analysis,,,,,,
source localization,,,,,,
source memory,,,,,,
source monitoring,,,,,,
source reconstruction,,,,,,
space,,,,,,
spanish,,,,,,
spanish version,,,,,,
spanish-english bilinguals,,,,,,
spanning-trees,,,,,,
sparse coding,,,,,,
spasmodic dysphonia,,,,,,
spasms,,,,,,
spatial ability,,,,,,
spatial acuity,,,,,,
spatial attention,,,,,,
spatial attention shifts,,,,,,
spatial cognition,,,,,,
spatial compatibility,,,,,,
spatial contrast sensitivity,,,,,,
spatial cueing,,,,,,
spatial data,,,,,,
spatial extent,,,,,,
spatial gradient,,,,,,
spatial hearing,,,,,,
spatial ica,,,,,,
spatial judgment,,,,,,
spatial language,,,,,,
spatial memory,,,,,,
spatial navigation,,,,,,
spatial neglect,,,,,,
spatial normalization,,,,,,
spatial orienting,,,,,,
spatial point pattern data,,,,,,
spatial point-processes,,,,,,
spatial reference direction,,,,,,
spatial registration,,,,,,
spatial regularization,,,,,,
spatial relations,,,,,,
spatial scales,,,,,,
spatial transformations,,,,,,
spatial working memory,,,,,,
spatial working-memory,,,,,,
spatial-distribution,,,,,,
spatial-frequency,,,,,,
spatial-frequency information,,,,,,
spatial-patterns,,,,,,
spatiotemporal data,,,,,,
spatiotemporal dynamics,,,,,,
spatiotemporal frequency,,,,,,
spatiotemporal psychopathology,,,,,,
spde,,,,,,
speaker meaning,,,,,,
speakers,,,,,,
speaking assessment,,,,,,
spearman correlation,,,,,,
specialization,,,,,,
specializations,,,,,,
species recognition,,,,,,
specificity,,,,,,
spect,,,,,,
spectral analysis,,,,,,
spectroscopy,,,,,,
speech,,,,,,
speech act,,,,,,
speech acts,,,,,,
speech anxiety,,,,,,
speech articulation,,,,,,
speech comprehension,,,,,,
speech content,,,,,,
speech control,,,,,,
speech functional networks,,,,,,
speech learning,,,,,,
speech motor control,,,,,,
speech perception,,,,,,
speech production,,,,,,
speech sounds,,,,,,
speech-act comprehension,,,,,,
speech-associated gestures,,,,,,
speech-gesture integration,,,,,,
speech-perception,,,,,,
speech-perception deficits,,,,,,
speechreading,,,,,,
speed,,,,,,
speed-dating,,,,,,
speeded-choice tasks,,,,,,
spelling-sound consistency,,,,,,
sperm retention,,,,,,
spgi,,,,,,
spheroidal wave-functions,,,,,,
spider phobia,,,,,,
spiking neurons,,,,,,
spinal cord,,,,,,
spinal fmri,,,,,,
spinal trigeminal nucleus,,,,,,
spinal-cord,,,,,,
spinocerebellar ataxia,,,,,,
spiral-in/out,,,,,,
spirituality,,,,,,
splenium of corpus callosum,,,,,,
split-half multivoxel pattern analyses,,,,,,
spm8,,,,,,
spoke,,,,,,
spoken,,,,,,
spoken language,,,,,,
spoken language comprehension,,,,,,
spoken language learning,,,,,,
spoken word production,,,,,,
spoken word recognition,,,,,,
spoken words,,,,,,
spontaneous,,,,,,
spontaneous activity,,,,,,
spontaneous brain activity,,,,,,
spontaneous cognition,,,,,,
spontaneous fluctuations,,,,,,
spontaneous hemodynamic fluctuation,,,,,,
spontaneous inferences,,,,,,
spontaneous movement tempo,,,,,,
spontaneous neuronal-activity,,,,,,
spontaneous pain,,,,,,
spontaneous self-relevant processing,,,,,,
spontaneous thought,,,,,,
spontaneous trait,,,,,,
spontaneous trait inferences,,,,,,
sport,,,,,,
sport law,,,,,,
sport-related anticipation,,,,,,
sporting performance,,,,,,
sports psychology,,,,,,
sports-related concussion,,,,,,
stability,,,,,,
stable task control,,,,,,
staircase,,,,,,
stakes,,,,,,
standard deviation,,,,,,
standardised packaging,,,,,,
standardization,,,,,,
standardized low-resolution brain electromagnetic tomography (sloreta),,,,,,
standards,,,,,,
starlings sturnus-vulgaris,,,,,,
startle,,,,,,
startle reaction,,,,,,
startle reflex,,,,,,
state,,,,,,
state anxiety,,,,,,
state connectivity,,,,,,
state fmri,,,,,,
state functional connectivity,,,,,,
state functional mri,,,,,,
state knowledge,,,,,,
state of consciousness,,,,,,
state self-esteem,,,,,,
state sequences,,,,,,
state-dependence,,,,,,
states,,,,,,
static,,,,,,
static facial expressions,,,,,,
static images,,,,,,
static photographs,,,,,,
statis,,,,,,
statistical criteria,,,,,,
statistical mechanics,,,,,,
statistical nonparametric mapping,,,,,,
statistical parametric mapping,,,,,,
statistical power,,,,,,
statistical software packages,,,,,,
statistical-analysis,,,,,,
statistical-mechanics,,,,,,
statistics,,,,,,
status,,,,,,
stay,,,,,,
steady background-noise,,,,,,
stepping exercise,,,,,,
stereotype,,,,,,
stereotype activation,,,,,,
stereotype content,,,,,,
stereotype content model,,,,,,
stereotype formation,,,,,,
stereotype inhibition,,,,,,
stereotype threat,,,,,,
stereotypes,,,,,,
stereotyping,,,,,,
stereotyping and prejudice,,,,,,
steroid-hormones,,,,,,
stigma,,,,,,
still-face,,,,,,
stimulant dependence,,,,,,
stimulates locomotor-activity,,,,,,
stimulation,,,,,,
stimuli,,,,,,
stimulus,,,,,,
stimulus correlation approach,,,,,,
stimulus discrimination,,,,,,
stimulus frequency,,,,,,
stimulus novelty,,,,,,
stimulus probability,,,,,,
stimulus repetitions,,,,,,
stimulus sequence,,,,,,
stimulus set,,,,,,
stimulus value signals,,,,,,
stimulus-based actions,,,,,,
stimulus-driven attention,,,,,,
stimulus-independent thought,,,,,,
stimulus-intensity,,,,,,
stimulus-preceding negativity,,,,,,
stimulus-response compatibility,,,,,,
stimulus-specific regions,,,,,,
stochastic,,,,,,
stochastic differential-equations,,,,,,
stochastic search,,,,,,
stop,,,,,,
stop-signal,,,,,,
stop-signal task,,,,,,
storage,,,,,,
stories,,,,,,
story,,,,,,
story comprehension,,,,,,
storytelling,,,,,,
strangers,,,,,,
strategic,,,,,,
strategic components,,,,,,
strategic control,,,,,,
strategic interactions,,,,,,
strategic management,,,,,,
strategic social behavior,,,,,,
strategies,,,,,,
strategy,,,,,,
stream,,,,,,
stream segregation,,,,,,
streamline tractography,,,,,,
streams,,,,,,
strength (resource) model,,,,,,
strength model,,,,,,
strength model of self-regulation,,,,,,
stress,,,,,,
stress reactivity,,,,,,
stress recovery,,,,,,
stress reduction,,,,,,
stress resilience,,,,,,
stress tasks,,,,,,
stress-induced analgesia,,,,,,
stress-reactive rumination,,,,,,
stressful job demands,,,,,,
stria terminalis,,,,,,
striatal activity,,,,,,
striatal connections,,,,,,
striatal contributions,,,,,,
striatal dopamine,,,,,,
striatal dopamine release,,,,,,
striatal function,,,,,,
striatal response,,,,,,
striate cortex,,,,,,
striatum,,,,,,
strong inference,,,,,,
stroop,,,,,,
stroop interference,,,,,,
stroop paradigm,,,,,,
stroop task,,,,,,
structural brain connectivity,,,,,,
structural connectivity,,,,,,
structural connectome,,,,,,
structural covariance,,,,,,
structural equation,,,,,,
structural equation modeling (sem),,,,,,
structural equation models,,,,,,
structural holes,,,,,,
structural imaging,,,,,,
structural magnetic resonance imaging,,,,,,
structural maturation,,,,,,
structural model selection,,,,,,
structural mri,,,,,,
structural networks,,,,,,
structural plasticity,,,,,,
structural realism,,,,,,
structural rules,,,,,,
structural vector autoregression,,,,,,
structural-changes,,,,,,
structural-properties,,,,,,
structure-function,,,,,,
structured noise,,,,,,
sts,,,,,,
sts region,,,,,,
students,,,,,,
study design,,,,,,
stuttering,,,,,,
style,,,,,,
style differences,,,,,,
styles,,,,,,
sub-mentalizing,,,,,,
subacute phase,,,,,,
subconcussive,,,,,,
subcortical changes,,,,,,
subcortical stroke,,,,,,
subdivisions,,,,,,
subdomain,,,,,,
subgenual cingulate,,,,,,
subgenual cingulate cortex,,,,,,
subitizing,,,,,,
subject,,,,,,
subjective experience,,,,,,
subjective frequency,,,,,,
subjective intoxication,,,,,,
subjective social status,,,,,,
subjective social-status,,,,,,
subjective value,,,,,,
subjective well-being,,,,,,
subjects own name,,,,,,
sublexical processing,,,,,,
subliminal,,,,,,
subliminal priming,,,,,,
subregions,,,,,,
subsequent memory,,,,,,
subsequent memory effect,,,,,,
subsequent-memory,,,,,,
subsequent-memory effect,,,,,,
substance use,,,,,,
substantia nigra,,,,,,
substantia nigra and amygdala,,,,,,
substantia-nigra,,,,,,
substrate,,,,,,
subthalamic nucleus,,,,,,
subtraction,,,,,,
subtypes,,,,,,
subway,,,,,,
success,,,,,,
successful emotion regulation,,,,,,
suggestibility,,,,,,
suggestion,,,,,,
sulcus,,,,,,
sunk cost effect,,,,,,
super-additive,,,,,,
superficial amygdala,,,,,,
superior colliculus,,,,,,
superior frontal cortex,,,,,,
superior frontal gyrus,,,,,,
superior longitudinal fasciculus,,,,,,
superior parietal cortex,,,,,,
superior parietal lobule,,,,,,
superior temporal cortex,,,,,,
superior temporal gyri,,,,,,
superior temporal gyrus,,,,,,
superior temporal gyrus and sulcus,,,,,,
superior temporal plane,,,,,,
superior temporal sulcu,,,,,,
superior temporal sulcus,,,,,,
superior temporal sulcus (sts),,,,,,
superiority theory,,,,,,
supernatural,,,,,,
supervised machine learning,,,,,,
supplementary,,,,,,
supplementary motor area,,,,,,
support,,,,,,
support vector machine,,,,,,
support vector machine (svm),,,,,,
support vector machines,,,,,,
support vectormachine,,,,,,
support-vector machine,,,,,,
supports,,,,,,
supports source memory,,,,,,
suppressing unwanted memories,,,,,,
suppression,,,,,,
supra-modal representation,,,,,,
suprachiasmatic area,,,,,,
supraglottic dystonia,,,,,,
supraliminal,,,,,,
supraliminal fear,,,,,,
supramarginal and angular gyrus,,,,,,
supramarginal gyrus,,,,,,
supramodal,,,,,,
supramodality,,,,,,
suprasylvian sulcus,,,,,,
surface,,,,,,
surface analyses,,,,,,
surface dyslexia,,,,,,
surface-based analysis,,,,,,
surprise,,,,,,
surprised faces,,,,,,
surveillance,,,,,,
survey study,,,,,,
survival rates,,,,,,
survivors,,,,,,
susceptibility,,,,,,
susceptibility artifacts,,,,,,
sustainability,,,,,,
sustained activity,,,,,,
sustained attention,,,,,,
sustained language control,,,,,,
sustained processing,,,,,,
svm,,,,,,
svo,,,,,,
swap errors,,,,,,
sweet,,,,,,
switches,,,,,,
syllable frequency,,,,,,
syllable production,,,,,,
syllables,,,,,,
symbol comprehension,,,,,,
